Taxa	PT015	PT002	s58.Healthy.greaterthan5.Feces.Baseline	CN031	PH043	CN004	PH042	PH048	s.331.Healthylessthan5.Stool.1.2556	CN023	PT003	s.278.Healthylessthan5.Stool.visit1.2298	s064.Healthy_greaterthan5.Feces.Baseline	s.86.Healthy_greaterthan5.Feces.Baseline	PH029	s048.Healthy_lessthan5.Feces.Baseline	PH047	PH011	s.280.Healthylessthan5.Stool.visit1.2273	PH005	PH049	CN002	s.298.Healthylessthan5.Stool.1.2374	PT004	s066.Healthy_lessthan5.Feces.Baseline	s.91.Healthy.greaterthan5.Feces.Baseline	s.274.Healthylessthan5.Feces.Baseline	s.88.Healthy_greaterthan5.Feces.Baseline	PH045	PT012	PT018	PH025	CL007	PH024	s.87.Healthy_greaterthan5.Feces.Baseline	PT005	s60.Healthy.greaterthan5.Feces.Baseline	s.257.Healthylessthan5.Stool.1.1953	CN011	s083.Healthy_lessthan5.Feces.Baseline	s.109.Healthy.greaterthan5.Stool.1.910	PH021	CN013	PH008	CL009	PT013	PT014	PH002	PT019	s.294.HealthyLess.Than5.Stool.1.2296	CN029	PH028	s115.Healthy_greaterthan5.Feces.Baseline	PH022	CL002	CL005	PH020	CN022	PH019	PT006	s22.Healthy.Feces.Visit1	s69.Healthy_greaterthan5.Feces.Baseline	PH050	s.260.Healthylessthan5.Feces.Baseline	CN027	s.276.Healthylessthan5.Stool.visit1.2112	CN005	CN030	s.356.Healthy.lessthan5.Stool.1.2764	PT017	PH012	s95.Healthy.lessthan5.Feces.Baseline	CL010	s26.Healthy.Feces.Visit1	PH023	s.158.Healthy_lessthan5.Feces.Baseline	s30	PT009	PH017	s45.Healthy_lessthan5.Feces.Baseline	PH031	PT007	PT010	CL006	s.85.Healthy_greaterthan5.Feces.Baseline	PH018	s.290.Healthylessthan5.Stool.visit1.2284	CL003	s.84.Healthy_greaterthan5.Feces.Baseline	PH016	PH051	PH007	CN017	CL008	s.208.Healthy_lessthan5.Feces.Baseline	s.79.Healthy_greaterthan5.Feces.Baseline	CN026	PH027	PH038	PH041	s50.Healthy_lessthan5.Feces.Baseline	s47.Healthy_lessthan5.Feces.Baseline	PH040	s.75.Healthy_greaterthan5.Feces.Baseline	PH010	s128.Healthy_lessthan5.Feces.Baseline	s049.Healthy_greaterthan5.Feces.Baseline	PH035	s125.Healthy_lessthan5.Feces.Baseline	s.89.Healthygreaterthan5.Feces.Baseline	s.153.Healthy_lessthan5.Feces.Baseline	PH054	s46.Healthy.greaterthan5.Feces.Baseline	CN019	s70.Healthy_greaterthan5.Feces.Baseline	s.149.Healthy_lessthan5.Feces.Baseline	PH046	PH052	PT001	s.283.HealthyLess.Than5.Stool.1.2299	s.303.Healthylessthan5.Stool.1.2291	s.353.Healthygreaterthan5.Stool.1.2756	CN007	PH013	CN024	s68.Healthy_greaterthan5.Feces.Baseline	CN020	PH034	CL004	CN006	PH039	s.100.Healthygreaterthan5.Stool.visit1.798	PH037	s.74.Healthy_greaterthan5.Feces.Baseline	CN021	PH036	PH026	PT011	s6.Healthy.Feces.Visit1	CL001
p__Actinobacteria f__Nocardiopsaceae	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria f__Promicromonosporaceae	0	1	0	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	4	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	43	0	0	0	0	6	0	0	0	1	2	0	6	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	1	0	2	0	1	1	0	2	4	1	0	3	0	2	1	6	2	0	0	1	1	0
p__Actinobacteria f__Propionibacteriaceae	2	6	11	0	0	5	1	48	18	10	17	0	10	22	1	21	67	3	28	5	34	5	15	31	14	5	80	16	13	5	1	2	6	18	25	4	44	7	1	11	3	2	210	2	6	0	0	1	16	2	0	16	4	17	16	17	3	0	3	1	6	1	8	2	0	22	2	104	1	1	144	4	12	18	12	13	5	1	4	6	5	27	0	7	26	18	22	69	34	1	11	4	9	3	4	22	3	2	3	4	10	8	1	24	0	2	60	5	1	6	18	19	13	23	1	8	10	0	21	1	5	30	0	180	2	13	4	10	0	37	0	13	6	18	14	0	0	136	4	1
p__Actinobacteria f__Pseudonocardiaceae	0	13	11	5	0	10	3	33	2	1	13	1	10	21	4	6	17	0	4	21	0	5	11	10	15	2	26	17	5	6	4	3	9	81	17	13	0	2	3	4	4	0	0	3	9	1	3	3	28	0	0	13	10	23	5	1	2	6	1	3	9	5	13	11	4	5	2	6	1	2	2	14	15	16	63	3	2	11	0	7	5	52	6	8	31	11	6	62	25	0	0	1	9	12	0	10	0	5	4	13	1	6	1	3	9	4	53	62	0	11	27	22	12	0	1	3	18	0	1	0	2	17	0	9	6	7	1	7	0	1	2	4	35	39	10	0	0	17	14	1
p__Actinobacteria f__Streptomycetaceae	1	1	44	10	4	0	5	73	14	3	41	1	17	26	1	29	26	2	14	16	5	39	10	10	13	4	40	11	4	5	17	0	17	26	18	14	2	5	1	1	9	1	6	1	5	5	1	0	61	3	2	25	17	28	11	0	9	13	5	3	14	0	25	8	3	9	9	16	4	29	0	9	11	14	12	22	4	25	72	5	2	47	4	5	24	24	7	208	25	0	9	0	64	17	7	5	2	6	17	6	4	11	7	6	5	4	64	21	0	9	41	15	8	6	3	11	19	0	9	8	8	14	0	5	10	24	10	4	0	30	22	13	12	23	12	0	0	22	11	3
p__Actinobacteria f__Streptosporangiaceae	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
p__Actinobacteria g__Acidimicrobium s__ferrooxidans	4	2	6	3	1	7	1	66	22	9	7	0	7	23	85	1	45	0	13	11	0	6	20	14	0	8	1	5	9	1	13	0	5	43	11	18	1	3	3	3	9	0	0	0	8	0	0	1	7	2	0	13	5	30	7	10	9	11	2	1	2	4	10	2	0	3	13	0	0	2	0	11	2	11	66	5	3	5	0	2	7	22	4	12	4	0	3	1	19	0	0	0	9	8	0	2	9	0	4	10	2	4	2	15	9	1	13	1	0	8	19	18	8	71	2	7	4	0	0	0	0	7	0	6	8	8	1	0	0	0	5	13	14	10	0	0	0	0	11	0
p__Actinobacteria g__Acidipropionibacterium	0	1	33	1	0	0	1	13	1	0	2	0	8	2	0	0	6	0	0	4	0	0	1	0	1	1	2	5	1	1	5	0	3	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	4	3	7	0	1	1	0	0	2	1	4	0	0	1	1	0	3	0	3	7	0	4	0	0	0	0	1	0	3	3	0	0	6	0	4	6	11	0	0	3	0	3	1	0	0	3	0	2	5	0	1	0	6	0	25	2	0	3	52	7	1	0	1	0	7	0	1	0	0	2	0	1	4	1	0	0	0	0	0	1	2	19	1	0	0	9	9	0
p__Actinobacteria g__Acidipropionibacterium s__acidipropionici	0	2	22	6	1	13	3	87	11	2	27	0	15	12	6	11	65	0	14	35	2	13	12	22	17	4	13	17	12	26	3	0	58	75	17	32	44	5	3	1	6	1	1	4	14	0	0	1	50	1	6	14	23	46	35	1	4	7	2	3	6	0	18	9	8	6	6	9	3	5	1	8	20	29	71	12	3	13	0	3	4	67	17	18	29	5	8	260	21	2	1	0	12	14	3	12	12	2	11	19	5	9	9	17	5	1	50	29	0	4	23	30	8	2	5	9	11	0	5	6	5	17	0	14	10	18	8	45	0	9	6	17	22	36	19	1	0	111	21	6
p__Actinobacteria g__Acidipropionibacterium s__sp. JS278	5	2	25	4	0	2	2	34	36	1	19	1	13	26	0	22	14	3	8	31	1	28	38	14	18	12	18	10	8	11	3	0	10	13	25	10	6	15	0	0	16	0	0	2	21	0	3	0	33	1	2	41	20	11	44	0	25	3	6	2	12	1	5	10	2	20	5	2	2	3	2	20	25	21	22	0	16	92	0	9	9	18	2	2	29	3	19	179	52	0	1	0	13	2	12	48	0	1	7	2	9	15	16	6	20	0	61	38	1	12	27	8	26	12	2	36	14	0	8	17	2	12	0	6	0	15	6	10	0	0	1	39	6	34	5	0	0	60	22	0
p__Actinobacteria g__Acidothermus s__cellulolyticus	0	0	8	0	0	23	3	32	3	0	0	0	5	2	0	3	12	0	0	3	0	2	4	3	1	1	5	57	0	0	5	0	1	14	3	1	0	4	2	0	0	1	0	0	0	0	0	1	1	0	1	3	4	4	1	2	9	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6	1	2	13	0	2	1	0	0	0	18	0	2	1	0	1	20	8	0	0	0	3	3	2	1	0	0	0	10	1	1	3	1	1	0	66	1	0	0	11	10	3	0	0	2	1	0	2	1	0	8	0	0	0	4	2	0	0	1	1	2	9	14	4	0	0	0	11	0
p__Actinobacteria g__Actinoalloteichus	0	2	18	7	9	20	4	31	6	1	24	0	11	27	81	14	33	0	3	19	0	23	15	13	29	9	13	3	13	0	4	170	25	71	9	24	5	3	1	94	6	0	0	1	5	0	0	4	19	1	0	26	43	50	12	9	12	5	47	2	1	1	24	10	9	7	17	0	13	6	0	19	3	52	64	3	2	99	1	7	4	25	5	11	10	3	13	29	16	0	0	0	3	15	2	3	2	6	2	26	4	10	99	15	3	5	74	2	0	5	4	14	5	16	7	8	10	0	1	6	5	10	1	6	17	11	1	1	1	0	0	33	39	30	5	1	24	19	10	0
p__Actinobacteria g__Actinoalloteichus s__hoggarensis	0	1	8	0	0	22	2	13	20	2	1	1	11	15	0	28	18	0	8	17	0	8	5	4	0	4	13	10	1	5	0	0	12	4	23	0	1	8	0	0	3	2	0	2	5	0	0	0	4	0	0	31	12	2	33	1	3	1	6	1	0	0	0	5	2	11	1	5	1	0	0	9	7	9	5	2	12	3	1	2	3	10	2	0	8	10	19	51	15	0	0	1	2	0	9	43	0	0	1	1	7	0	0	7	7	0	31	0	0	13	11	9	4	41	0	18	8	0	0	1	3	2	0	1	0	7	0	0	2	2	0	18	0	20	3	0	0	16	14	0
p__Actinobacteria g__Actinoalloteichus s__hymeniacidonis	1	0	4	5	10	2	8	34	5	3	12	0	15	7	79	26	14	0	11	16	0	3	13	2	0	1	5	6	2	1	5	0	19	21	5	7	2	1	1	0	4	0	3	1	9	0	1	0	7	0	0	17	10	9	3	30	4	5	7	1	0	0	2	5	7	5	0	1	1	22	0	19	3	17	22	0	3	0	1	5	0	17	2	1	7	8	3	30	14	0	7	0	10	1	1	41	6	3	6	12	1	3	9	16	10	4	41	27	0	12	2	13	7	6	5	2	11	0	1	4	2	1	0	9	14	24	0	3	0	2	0	10	4	7	2	0	0	12	3	1
p__Actinobacteria g__Actinoalloteichus s__sp. ADI127-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
p__Actinobacteria g__Actinoalloteichus s__sp. AHMU CJ021	0	47	5	2	1	0	2	37	11	4	20	0	3	5	2	19	43	602	18	13	3	15	6	5	37	6	74	2	9	15	17	0	4	7	10	9	0	4	0	0	0	0	18	1326	2	1	1	1	26	0	1	6	11	2	22	5	3	5	2	0	2	1	21	5	3	24	84	1	5	3	401	2	1	12	1	21	6	1	1000	5	0	34	3	2	5	1	5	36	18	0	0	4	2	1	5	12	1	1	1	7	3	1	0	13	2	9	9	4	0	2	7	5	3	7	1	18	5	0	2760	3	7	25	30	8	49	15	3	3	1	1	36	9	7	5	5	1	0	2	2	2
p__Actinobacteria g__Actinoalloteichus s__sp. GBA129-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria g__Actinomyces	6	8	11	5	8	16	12	46	9	17	37	6	8	12	19	9	63	25	14	39	20	21	26	32	9	4	18	8	7	156	17	5	133	27	19	26	12	2	21	0	5	0	0	116	90	13	30	0	75	10	9	19	25	20	26	20	8	5	9	18	17	5	45	14	27	7	133	136	21	80	4	12	25	27	5	15	6	32	0	19	1	129	4	66	29	22	14	4058	19	1	1	13	196	40	5	19	33	17	15	22	6	6	10	1	28	18	65	104	1	16	17	59	8	5	3	14	52	0	159	6	30	18	26	15	13	10	219	174	7	91	47	9	33	29	280	3	0	147	9	8
p__Actinobacteria g__Actinomyces s__gaoshouyii	3	7	2	0	1	10	1	34	7	4	18	1	3	5	4	22	25	8	8	35	3	3	10	10	22	4	32	8	9	50	5	0	27	31	4	24	2	2	2	0	6	0	1	39	16	1	6	0	32	1	4	2	4	17	3	2	1	5	5	21	3	2	36	8	11	13	20	23	34	16	2	5	4	13	44	7	5	15	0	8	1	37	1	20	4	1	10	871	8	1	1	3	38	16	6	5	2	2	1	20	2	8	1	5	8	2	8	26	0	5	15	15	4	4	2	8	14	0	9	3	21	67	0	1	8	12	50	21	0	12	8	3	11	12	58	4	0	34	0	2
p__Actinobacteria g__Actinomyces s__hongkongensis	31	17	28	11	16	62	44	198	14	41	31	29	8	39	45	40	92	0	49	52	122	20	31	116	34	17	25	14	17	705	48	2	75	118	44	327	69	5	119	0	8	3	0	29	274	44	112	3	132	13	45	27	42	69	24	68	31	30	15	54	5	8	179	26	55	9	565	760	92	360	6	22	37	27	94	61	19	168	2	20	8	232	25	187	34	15	35	16230	43	5	1	6	787	92	22	7	44	65	23	38	20	13	45	21	78	14	89	219	11	50	30	167	15	5	7	20	132	0	101	25	181	25	29	14	43	24	647	460	0	362	151	26	96	39	887	14	1	360	15	13
p__Actinobacteria g__Actinomyces s__meyeri	96	23	53	18	71	193	102	247	30	215	33	65	26	81	126	48	199	1	149	112	402	12	83	329	97	6	23	37	13	2265	78	3	193	199	65	254	72	6	406	3	4	10	3	12	688	135	393	4	353	44	137	64	52	137	48	209	67	27	23	102	21	12	425	58	249	27	1649	2150	154	1104	4	40	100	66	51	125	33	496	0	61	9	519	64	479	77	33	77	56049	81	17	0	12	2804	203	33	30	150	242	72	94	54	13	58	30	202	17	100	652	40	122	82	355	40	9	13	49	318	1	183	50	423	39	93	59	78	54	1803	1496	0	1205	429	44	94	73	2484	68	0	1191	60	40
p__Actinobacteria g__Actinomyces s__oris	45	33	71	42	22	19	20	609	33	38	1396	21	30	71	988	100	1095	142	103	129	8	59	131	380	141	13	60	110	13	86	618	2	5738	593	46	332	52	23	7	8	78	35	1	3356	114	180	118	8	431	64	265	189	295	90	21	75	9	51	140	241	62	39	155	117	928	6	33	50	336	485	118	30	156	46	48	164	37	25	12	198	33	5745	57	1443	33	5	23	1732	78	7	5	51	155	724	15	45	27	51	43	499	27	27	9	27	1671	13	227	1378	6	48	51	535	35	18	12	83	49	0	216	44	73	47	3	310	121	63	62	5163	426	20	27	64	173	66	4053	2	3	1606	80	434
p__Actinobacteria g__Actinomyces s__pacaensis	27	16	40	29	241	332	977	171	45	163	119	21	35	169	142	73	73	1	54	201	163	86	99	293	98	8	72	114	69	353	1320	366	895	119	97	102	87	17	1006	1	51	113	21	877	2618	265	723	3	678	56	212	18	117	388	30	420	195	62	107	125	26	10	463	72	269	30	435	346	474	462	25	29	90	87	21	166	60	258	2	65	18	1102	144	507	143	43	92	53411	118	12	4	1094	818	209	33	55	2331	110	79	101	42	34	105	41	166	35	151	1322	10	65	104	220	76	60	13	60	292	0	26708	68	298	45	41	205	129	44	9918	3007	2	488	1668	41	118	97	4218	248	1	1462	55	171
p__Actinobacteria g__Actinomyces s__radicidentis	7	10	10	9	3	92	5	66	23	14	15	2	15	43	17	10	45	16	11	20	18	27	20	30	7	25	31	10	8	92	18	2	84	38	29	22	2	22	16	0	28	1	0	95	32	7	16	1	78	2	18	31	28	29	44	11	8	7	7	10	7	4	25	21	14	17	127	59	42	61	5	24	22	21	7	15	5	16	1	25	10	93	4	44	24	3	15	2160	33	0	3	5	98	34	10	28	18	8	13	16	0	8	2	5	25	12	48	51	1	17	24	29	16	27	3	20	28	0	1	6	20	12	6	14	50	21	64	77	2	48	15	19	16	19	127	1	0	103	19	6
p__Actinobacteria g__Actinomyces s__radingae	0	1	21	12	5	2	6	23	5	3	1	0	9	11	66	7	16	0	29	19	5	21	8	2	11	3	11	6	3	27	14	0	5	7	3	5	5	1	6	0	2	3	1	9	19	4	7	0	7	6	8	3	3	9	6	22	5	1	1	5	1	4	17	2	10	1	9	21	82	27	2	4	12	10	8	5	2	12	0	18	7	15	4	13	20	1	4	816	8	1	4	4	25	8	5	4	12	14	12	155	0	0	3	13	11	38	40	11	16	0	2	7	5	8	2	8	43	0	57	2	5	10	0	4	2	6	53	38	0	38	11	8	53	6	63	1	0	21	3	2
p__Actinobacteria g__Actinomyces s__sp. Chiba101	2	2	111	3	2	2	2	24	3	4	11	1	7	11	8	1	29	10	12	69	6	6	2	6	9	1	6	7	4	31	5	0	64	25	4	11	1	1	10	0	1	0	1	67	8	1	9	0	27	2	8	4	9	8	7	3	3	0	2	8	3	2	12	4	7	3	24	54	5	35	0	14	4	5	0	5	2	4	0	6	2	68	2	14	7	2	3	715	19	1	0	6	57	21	1	4	3	9	2	9	2	5	1	3	15	5	40	34	0	4	9	22	6	3	4	8	12	0	0	2	12	4	3	3	1	10	33	30	2	14	7	4	5	13	59	0	0	69	16	7
p__Actinobacteria g__Actinomyces s__sp. oral taxon 414	3	30	225	38	0	60	21	266	46	32	47	11	21	55	22	20	73	55	47	25	4	13	26	236	33	9	58	24	14	51	47	1	180	45	59	464	10	2	4	1	14	3	0	148	136	8	11	0	119	11	9	24	108	35	46	13	9	46	5	21	10	9	313	14	14	10	22	28	14	26	25	7	55	34	18	35	1	54	295	20	15	143	9	36	45	23	19	870	49	0	7	15	97	47	7	51	19	30	19	34	6	15	3	33	117	6	40	157	3	25	21	408	37	10	8	16	43	0	94	17	29	37	41	36	6	24	35	35	7	13	88	30	60	59	157	5	0	76	42	12
p__Actinobacteria g__Actinomyces s__sp. oral taxon 897	4	15	78	4	3	5	12	40	19	2	66	0	7	15	12	29	57	26	27	24	7	22	19	34	3	3	24	8	12	25	7	0	89	47	16	23	2	7	2	1	17	0	0	88	28	1	4	0	72	5	6	9	31	34	20	4	8	17	9	12	5	1	29	22	4	24	23	27	11	18	30	21	10	10	18	13	7	11	23	12	2	96	3	37	17	20	25	599	14	1	0	6	24	62	7	6	5	7	2	22	12	12	14	18	16	11	53	70	0	21	71	33	13	9	5	16	25	0	17	36	13	21	0	96	3	32	23	17	3	9	10	18	64	21	47	3	0	73	11	2
p__Actinobacteria g__Actinomyces s__sp. VUL4_3	0	0	1	9	3	3	3	8	8	0	10	0	2	25	7	7	4	0	5	2	2	1	6	6	6	13	6	2	0	10	141	1	1	7	10	24	7	1	2	0	11	0	0	4	5	0	2	0	7	3	3	1	4	1	1	0	1	0	1	2	4	0	35	0	3	0	3	10	0	4	0	2	0	11	1	17	2	97	3	2	0	38	2	2	10	48	3	397	4	0	0	5	15	51	2	2	8	9	2	6	0	10	1	1	10	2	17	49	0	2	5	3	5	0	12	2	14	0	23	4	14	31	1	0	0	2	22	5	2	2	4	6	2	16	19	0	0	9	1	1
p__Actinobacteria g__Actinomyces s__sp. Z16	9	20	29	6	0	33	11	167	43	46	40	9	35	109	15	29	133	14	21	118	10	59	48	35	111	31	171	107	114	41	33	4	92	152	65	71	52	30	21	0	24	14	0	60	140	4	14	3	131	5	12	43	129	118	61	8	16	10	13	26	12	9	94	24	15	61	33	49	58	28	5	36	14	69	131	82	19	32	0	23	13	232	8	157	63	4	18	1121	72	1	2	7	50	26	15	18	7	20	11	92	13	5	113	44	23	5	156	76	0	54	36	94	20	43	10	48	54	0	22	12	31	62	1	24	30	53	29	37	1	31	10	34	94	69	78	3	0	58	42	6
p__Actinobacteria g__Actinoplanes	0	4	18	11	0	30	19	36	3	0	24	1	3	20	0	19	65	0	23	1	1	4	19	7	3	3	32	22	6	1	5	0	2	7	8	1	32	0	1	3	4	1	1	0	7	2	1	0	9	1	0	10	10	16	13	4	6	11	2	2	9	2	32	0	11	6	1	3	4	3	0	7	6	23	4	4	0	1	0	3	2	55	1	4	21	24	2	24	28	0	8	0	11	15	8	2	7	0	16	0	1	4	3	3	0	3	66	12	24	0	18	11	6	1	2	2	6	0	2	0	6	8	0	6	4	10	1	1	1	26	4	7	7	23	6	14	0	11	1	2
p__Actinobacteria g__Actinoplanes s__derwentensis	1	0	55	3	0	16	3	19	13	1	32	0	10	34	7	11	33	0	25	11	1	16	7	10	13	3	14	23	13	3	16	0	6	56	5	19	2	14	7	2	0	0	0	0	32	0	1	1	28	3	1	12	11	24	17	0	5	4	5	10	3	2	51	5	1	2	1	2	22	1	0	18	18	25	83	20	6	18	1	4	5	27	6	13	29	2	4	64	23	2	0	0	4	6	5	12	0	1	2	17	3	4	3	8	6	2	46	1	0	5	19	24	10	6	3	7	16	0	1	11	5	12	0	8	4	17	1	1	0	1	0	18	26	16	1	0	0	17	8	7
p__Actinobacteria g__Actinoplanes s__friuliensis	1	1	88	3	0	5	1	24	10	1	7	0	5	10	3	6	4	0	14	7	0	36	14	8	4	4	6	4	2	1	7	0	6	9	6	1	1	0	2	15	3	1	0	0	7	1	2	0	4	2	0	15	15	5	11	5	2	1	4	0	3	2	13	5	0	13	1	4	0	6	2	1	9	7	8	6	1	6	7	4	3	21	2	1	23	5	5	82	9	0	0	0	4	0	3	7	1	0	5	3	1	7	6	5	5	4	16	2	0	3	8	20	9	1	3	7	10	0	1	24	3	10	0	2	1	4	2	6	0	10	6	10	18	11	6	0	0	7	3	0
p__Actinobacteria g__Actinoplanes s__missouriensis	0	2	6	16	1	11	1	16	25	8	20	0	10	5	1	32	3	0	14	30	2	12	21	14	8	4	30	9	3	1	13	0	13	5	19	10	7	15	0	1	8	0	0	1	11	1	0	0	16	2	6	10	24	21	7	0	6	12	7	0	4	0	23	13	0	11	2	2	2	6	0	17	3	6	10	16	14	0	0	8	1	14	4	4	16	2	22	35	17	0	2	0	0	3	1	34	5	2	2	2	11	14	2	8	6	3	34	17	0	5	38	4	12	41	4	4	14	0	3	4	6	19	0	11	3	14	3	2	0	0	5	18	9	30	2	1	0	8	11	3
p__Actinobacteria g__Actinoplanes s__sp. N902-109	0	0	26	3	0	34	0	21	20	1	18	0	21	31	145	19	33	0	8	20	1	6	34	9	2	17	6	29	6	0	2	0	0	49	9	16	10	14	1	17	5	0	0	0	18	0	1	1	19	6	1	31	6	27	33	1	10	1	10	1	4	0	25	4	0	20	1	7	0	24	0	18	31	16	60	14	9	12	0	2	6	29	2	14	64	14	4	69	58	0	0	0	5	0	6	29	0	8	1	15	3	6	3	15	13	1	34	3	0	14	12	17	11	5	1	11	6	0	1	2	5	9	0	4	6	24	2	0	0	0	1	24	29	25	5	0	0	8	24	1
p__Actinobacteria g__Actinoplanes s__sp. SE50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria g__Actinopolymorpha s__singaporensis	2	1	16	2	1	3	0	44	11	66	6	0	5	22	0	5	13	2	5	12	1	12	5	3	39	2	3	3	19	8	23	0	4	19	10	6	62	2	3	0	11	2	1	0	46	0	0	0	43	1	5	11	15	28	9	0	6	2	4	2	5	2	49	4	2	3	0	4	3	3	0	3	4	4	31	23	2	3	0	3	5	45	2	4	18	1	5	59	22	0	0	1	123	8	3	9	1	7	13	9	3	8	9	5	2	2	72	8	0	2	37	15	2	6	3	7	12	0	0	1	1	59	2	4	2	13	5	4	0	2	3	12	61	30	5	0	0	14	3	2
p__Actinobacteria g__Actinopolyspora s__Actinobacteria bacterium IMCC26256	0	0	2	1	0	0	4	4	5	1	1	4	0	6	22	3	12	0	9	7	0	0	7	2	5	1	1	0	7	1	0	0	13	7	6	4	1	2	0	0	1	0	0	2	9	0	0	0	12	0	1	5	7	0	6	2	0	1	0	1	0	1	4	3	0	20	0	0	1	0	1	0	1	6	1	3	26	3	0	2	5	20	0	0	5	0	0	17	12	2	0	0	0	0	5	1	4	0	0	0	10	12	0	2	5	0	0	22	0	7	30	15	1	0	1	7	23	0	0	1	1	2	1	1	0	4	1	0	0	0	0	11	26	6	3	4	0	0	2	1
p__Actinobacteria g__Actinopolyspora s__erythraea	0	1	108	1	0	0	1	10	4	0	17	0	7	4	0	5	8	0	7	6	4	10	1	2	1	2	31	14	2	1	3	6	7	3	16	9	2	0	0	0	2	1	0	0	0	1	0	0	29	0	0	23	13	9	9	1	0	2	3	1	11	1	2	9	1	0	0	0	0	1	0	3	12	4	0	5	7	0	1	1	3	28	0	0	18	0	1	41	10	0	0	0	0	5	0	6	0	5	0	4	1	2	3	0	3	0	62	2	1	2	19	15	11	0	0	6	8	0	4	2	5	10	0	3	0	19	1	2	0	0	2	10	21	72	3	0	0	17	10	2
p__Actinobacteria g__Actinosynnema	0	12	4	0	0	1	1	23	13	1	0	0	2	11	0	18	2	0	7	2	0	7	6	1	9	3	25	2	0	0	0	0	6	5	15	0	0	3	0	0	0	0	0	1	3	0	0	0	2	0	2	11	6	5	10	0	4	2	6	1	3	0	28	4	0	13	1	2	4	4	1	4	6	14	1	5	4	0	0	2	0	25	1	1	8	3	23	48	19	0	0	0	1	6	6	51	0	3	6	0	4	2	0	1	1	0	17	17	1	6	41	13	5	22	1	10	4	0	2	2	0	9	0	3	0	5	0	1	0	3	1	14	3	7	4	0	0	16	2	0
